Page,Line,Ignore_issues,Issue_exits
6,15,"missing pink(1) at position 23 [9, 18]",no
7,7,"extra green(1) at position 20 [8, 14]",no
16,4,"extra green(1) at position 7 [13, 10]",no
19,9,"extra green(1) at position 28 [13, 10]",no
21,7,"extra green(1) at position 9 [9, 8]",no
22,13,"extra green(1) at position 23 [20, 9]",no
26,10,"extra pink(1) at position 2 [21, 26]",no
27,10,"extra green(1) at position 16 [8, 14]",no
27,11,"missing orange(1) at position 12 [9, 21]",no
27,15,"extra pink(1) at position 14 [10, 13]",no
30,14,"extra green(2) at position 8 [13, 17]",no
31,1,"extra green(1) at position 19 [13, 10]",no
32,9,"extra blue(1) at position 16 [45, 15]",no
32,15,"extra pink(1) at position 16 [19, 9]",no
33,2,"extra green(1) at position 17 [5, 15]",no
34,8,"extra pink(1) at position 4 [57, 26]",no
34,11,"extra pink(1) at position 6 [13, 10]",no
34,13,"extra pink(1) at position 14 [14, 41]",no
35,6,"extra pink(1) at position 2 [26, 10]",no
36,3,"extra green(1) at position 23 [25, 10]",no
38,13,"extra green(1) at position 21 [20, 9]",no
40,14,"extra pink(1) at position 2 [52, 27]",no
43,9,"extra green(1) at position 17 [8, 7]",no
45,3,"extra green(1) at position 9 [40, 50]",no
47,12,"missing blue(1) at position 9 [36, 34]",no
47,15,"missing blue(1) at position 13 [30, 33]",no
49,1,"extra green(1) at position 20 [7, 15]",no
50,1,"missing green(38) at position 1 [344, 11]",no
50,1,"missing orange(28) at position 5 [14, 10]",no
50,2,"missing orange(3) at position 1 [43, 29]",no
50,2,"missing blue(6) at position 2 [44, 29]",no
50,10,"extra green(1) at position 13 [13, 17]",no
52,4,"extra pink(1) at position 15 [13, 10]",no
54,10,"extra green(1) at position 18 [13, 10]",no
54,11,"extra green(2) at position 18 [12, 10]",no
54,14,"extra green(1) at position 18 [13, 10]",no
55,2,"extra pink(1) at position 9 [13, 10]",no
55,5,"extra green(2) at position 29 [13, 10]",no
55,6,"extra green(1) at position 2 [31, 27]",no
56,2,"extra green(1) at position 14 [14, 17]",no
56,5,"extra green(1) at position 16 [23, 19]",no
57,3,"extra green(1) at position 7 [13, 10]",no
58,4,"extra green(1) at position 9 [20, 14]",no
58,8,"extra pink(1) at position 14 [8, 15]",no
58,14,"extra pink(1) at position 9 [8, 15]",no
60,7,"extra pink(1) at position 2 [37, 27]",no
62,14,"extra pink(1) at position 8 [8, 7]",no
63,12,"extra green(1) at position 9 [32, 30]",no
66,3,"extra green(1) at position 14 [31, 32]",no
66,6,"extra pink(1) at position 4 [8, 7]",no
68,5,"extra green(1) at position 25 [13, 10]",no
70,2,"extra green(1) at position 31 [20, 9]",no
71,8,"missing blue(1) at position 8 [17, 14]",no
75,11,"missing pink(1) at position 32 [8, 19]",no
76,1,"extra green(1) at position 19 [7, 15]",no
76,12,"extra pink(1) at position 17 [13, 10]",no
76,15,"missing green(38) at position 1 [343, 11]",no
76,15,"missing orange(28) at position 5 [14, 10]",no
77,1,"missing orange(3) at position 1 [41, 29]",no
77,1,"missing blue(6) at position 2 [41, 29]",no
77,5,"extra pink(1) at position 12 [12, 9]",no
77,9,"extra green(1) at position 31 [19, 9]",no
77,12,"extra pink(1) at position 21 [19, 9]",no
77,14,"extra green(1) at position 13 [13, 10]",no
79,2,"extra green(1) at position 21 [12, 17]",no
79,4,"extra green(1) at position 17 [12, 17]",no
80,14,"extra pink(1) at position 3 [13, 17]",no
90,9,"extra green(1) at position 15 [14, 8]",no
90,10,"missing blue(1) at position 19 [22, 17]",no
91,8,"extra blue(1) at position 6 [11, 27]",no
92,9,"extra green(1) at position 17 [14, 9]",no
93,5,"missing green(1) at position 17 [9, 19]",no
93,6,"extra green(1) at position 16 [19, 12]",no
96,10,"extra green(1) at position 15 [13, 9]",no
100,11,"missing pink(1) at position 12 [18, 9]",no
102,6,"extra pink(1) at position 5 [14, 17]",no
104,9,"extra pink(1) at position 7 [20, 9]",no
106,2,"extra green(1) at position 15 [18, 42]",no
106,6,"missing green(38) at position 1 [344, 11]",no
106,6,"missing orange(28) at position 5 [11, 8]",no
106,7,"missing orange(3) at position 1 [44, 28]",no
106,7,"missing blue(6) at position 2 [43, 28]",no
107,6,"extra green(1) at position 8 [13, 10]",no
108,11,"extra pink(1) at position 6 [14, 17]",no
109,1,"extra pink(1) at position 7 [8, 15]",no
109,2,"extra pink(1) at position 4 [37, 13]",no
110,7,"extra green(1) at position 18 [7, 15]",no
112,3,"extra green(1) at position 18 [20, 9]",no
113,11,"extra pink(1) at position 2 [32, 27]",no
117,4,"extra green(1) at position 16 [29, 28]",no
117,4,"extra pink(1) at position 19 [13, 16]",no
117,7,"extra pink(1) at position 2 [42, 19]",no
117,10,"extra green(1) at position 14 [13, 9]",no
117,13,"extra pink(1) at position 2 [28, 17]",no
118,5,"extra pink(1) at position 4 [37, 15]",no
120,11,"extra green(1) at position 16 [13, 10]",no
120,12,"extra green(1) at position 15 [14, 17]",no
121,6,"extra green(1) at position 7 [32, 30]",no
122,1,"extra pink(1) at position 15 [20, 9]",no
122,5,"extra green(1) at position 19 [8, 8]",no
122,13,"extra green(1) at position 6 [27, 27]",no
122,14,"extra green(1) at position 12 [25, 43]",no
124,10,"extra pink(1) at position 2 [8, 15]",no
125,14,"extra pink(1) at position 23 [19, 9]",no
128,1,"missing green(38) at position 1 [344, 11]",no
128,1,"missing orange(28) at position 5 [11, 8]",no
128,2,"missing orange(3) at position 1 [43, 29]",no
128,2,"missing blue(6) at position 2 [43, 29]",no
128,5,"extra purple(1) at position 20 [36, 19]",no
129,9,"extra green(1) at position 13 [12, 9]",no
129,10,"extra green(1) at position 7 [5, 5]",no
129,11,"extra green(1) at position 21 [20, 9]",no
129,14,"extra green(1) at position 10 [12, 10]",no
130,1,"extra green(1) at position 7 [12, 16]",no
131,5,"extra pink(1) at position 7 [15, 8]",no
135,2,"extra green(1) at position 12 [51, 19]",no
137,7,"extra green(1) at position 19 [13, 10]",no
137,15,"extra green(1) at position 14 [13, 10]",no
139,1,"extra green(1) at position 13 [13, 10]",no
140,6,"extra green(1) at position 22 [7, 14]",no
140,14,"extra green(1) at position 6 [7, 7]",no
141,10,"extra green(1) at position 18 [11, 27]",no
142,5,"extra blue(1) at position 20 [20, 9]",no
143,6,"extra pink(1) at position 3 [15, 8]",no
144,4,"extra green(1) at position 9 [13, 10]",no
